ID,Indicator Name,Alternate (Display) Name,Indicator Definition,Measure Type,Numerator Definition,Denominator Definition,Additional Indicator Details,Nutrition Domain,Sub-domain,Indicator Code,Helix Indicator Code,Core Indicator,SOWC Indicator,SDG Indicator,SDG Indicator Code,Strategic Plan Indicator,Strategic Plan Indicator Code,Emergency Indicator,Data Quality Indicator,Collection Mechanism,Year Assignment Method,Base Population,Aggregation Method,WPP Population Used,Aggregation Notes,Decision Engine Status,Notes,Compliance Asset Id,WPP_CND_REGEX,Custodian(s)
119,2 Food Groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_2,NT_CF_FG_2,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
120,3 Food Groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3,NT_CF_FG_3,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
121,4 Food Groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_4,NT_CF_FG_4,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
122,5 Food Groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_5,NT_CF_FG_5,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
123,6 Food Groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_6,NT_CF_FG_6,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
124,7 Food Groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_7,NT_CF_FG_7,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
125,8 Food Groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_8,NT_CF_FG_8,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
126,Weight-for-height <-2SD but height-for-age ≥-2SD,Wasted Only,Percentage of children under 5 years of age who are wasted only,Proportion,Number of children under 5 falling below -2 standard deviations from the median weight-for-height and falling at or above -2 standard deviations from the median height for age of the reference population,Children under 5 years of age in the surveyed population,This is a derived indicator calculated by subtracting the overlap of stunted and wasted from the point of estimate of wasting (all children with valid WHZ),Anthropometry,Child Anthropometry,ANT_WHZ_NE2_ONLY,NT_ANT_WHZ_NE2_ONLY,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
127,Weight-for-height >+2SD but height-for-age ≥-2SD,Overweight only,Percentage of children under 5 years of age who are overweight only,Proportion,Number of children under 5 falling above +2 standard deviations from the median weight-for-height and falling at or above -2 standard deviations from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population,This is a derived indicator calculated by subtracting the overlap of stunted and overweight from the point of estimate of overweight (all children with valid WHZ),Anthropometry,Child Anthropometry,ANT_WHZ_PO2_ONLY,NT_ANT_WHZ_PO2_ONLY,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
128,Percentage of households with no salt among tested households,,Percentage of surveyed households reported as having no salt for cooking at home during the time of testing,Proportion,Number of surveyed households which had no salt they used for cooking at the time of testing,Number of tested households,,Micronutrients,Iodine,IOD_NO_SALT_TH,NT_IOD_NO_SALT_TH,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Not Aggregated,,,Derived,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
129,Breastfeeding Area Graphs: Breastmilk and Complementary Feeding (0-5 months),Breastmilk and complementary foods (0-5 months),"Percentage of infants 0-5 months of age who received breastmilk and solid, semi-solid or soft foods",Proportion,"Number of infants 0-5 months of age who were fed breastmilk and solid, semi-solid or soft foods",Infants 0-5 months of age,"Any children who get complementary food are classified in this category as long as they are breastfeeding as well.
Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_5_BF_CF,NT_BF_AREA_0_5_BF_CF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 5 months,Crude Country Weighted Aggregation,0 to 5 months,,Derived,,,pop_month_0_5,"Division of Analysis, Planning and Monitoring, UNICEF"
130,Breastfeeding Area Graphs: Breastfeeding and Dairy (0-5 months),Breastmilk and other milk / formula (0-5 months),Percentage of infants 0-5 months of age who received breastmilk and formula/other milk,Proportion,Number of infants 0-5 months of age who were fed breastmilk and formula/other milk,Infants 0-5 months of age,"Children fed breast milk plus formula and/or other milk (e.g. infant formula, liquid milk, canned milk, powdered milk, etc.) in the 24 hours before the survey. Children in this category may also have been fed plain water and/or non-milk liquids.
Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_5_BF_DAIRY,NT_BF_AREA_0_5_BF_DAIRY,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 5 months,Crude Country Weighted Aggregation,0 to 5 months,,Derived,,,pop_month_0_5,"Division of Analysis, Planning and Monitoring, UNICEF"
131,Breastfeeding Area Graphs: Breastfeeding and Plain Water (0-5 months),Breastmilk and plain water (0-5 months),Percentage of infants 0-5 months of age who received breastmilk and plain water,Proportion,Number of infants 0-5 months of age who were fed breastmilk and plain water,Infants 0-5 months of age,Children that were fed breast milk plus plain water in the 24 hours before the survey.,Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_5_BF_PLAIN,NT_BF_AREA_0_5_BF_PLAIN,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 5 months,Crude Country Weighted Aggregation,0 to 5 months,,Derived,,,pop_month_0_5,"Division of Analysis, Planning and Monitoring, UNICEF"
132,Breastfeeding Area Graphs: Don't Know (0-5 months),,,Proportion,,,,Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_5_DK,NT_BF_AREA_0_5_DK,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 5 months,Crude Country Weighted Aggregation,0 to 5 months,,Derived,,,pop_month_0_5,"Division of Analysis, Planning and Monitoring, UNICEF"
133,Breastfeeding Area Graphs: Exclusive Breastfeeding (0-5 months),Breastmilk only (0-5 months),Percentage of infants 0-5 months of age who received only breastmilk,Proportion,Number of infants 0-5 months of age who were fed only breastmilk,Infants 0-5 months of age,"Children that were only fed breast milk in the 24 hours before the survey. These infants would not have received water-based liquids, milk based-liquids or food.
Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_5_EXBF,NT_BF_AREA_0_5_EXBF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 5 months,Crude Country Weighted Aggregation,0 to 5 months,,Derived,,,pop_month_0_5,"Division of Analysis, Planning and Monitoring, UNICEF"
134,Breastfeeding Area Graphs: Breastfeeding and Other Liquids (0-5 months),Breastmilk and non-milk liquids (0-5 months),Percentage of infants 0-5 months of age who received breastmilk and non-milk liquids,Proportion,Number of infants 0-5 months of age who were fed breastmilk and non-milk liquids,Infants 0-5 months of age,"Children fed breast milk plus non milk liquids (e.g. juice, herbal tea, sweetened water, flavored water, etc.) in the 24 hours before the survey. Children in this category may also have been fed plain water.
Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_5_OTHER,NT_BF_AREA_0_5_OTHER,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 5 months,Crude Country Weighted Aggregation,0 to 5 months,,Derived,,,pop_month_0_5,"Division of Analysis, Planning and Monitoring, UNICEF"
135,Breastfeeding Area Graphs: Weaned (0 - 5 months),No Breastmilk (0-5 months),Percentage of infants 0-5 months of age who did not receive any breastmilk,Proportion,Number of infants 0-5 months of age who were not breastfed,Infants 0-5 months of age,"Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_5_WEANED,NT_BF_AREA_0_5_WEANED,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 5 months,Crude Country Weighted Aggregation,0 to 5 months,,Derived,,,pop_month_0_5,"Division of Analysis, Planning and Monitoring, UNICEF"
136,"Minimum Diet Diversity (Breastfeeding, 6 to 23 months)",,Percentage of breastfed children 6-23 months of age who received a minimum diet diversity (foods from at least 5 out of 8 food groups),Proportion,Number of breastfed children 6-23 months of age who received foods from ≥ 5 (out of 8) food groups during the previous day,Breastfed children aged 6-23 months,"The eight food groups are: (i) breastmilk; (ii) grains, roots and tubers; (iii) legumes and nuts; (iv) dairy products (infant formula, milk, yogurt, cheese); (v) flesh foods (meat, fish, poultry and liver/organ meats); (vi) eggs; (vii) vitamin-A rich fruits and vegetables; (viii) other fruits and vegetables",Infant and Young Child Feeding,Complementary Feeding,CF_MDD_BF,NT_CF_MDD_BF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
137,"Minimum Diet Diversity (Non-Breastfeeding, 6 to 23 months)",,Percentage of non-breastfed children 6-23 months of age who received a minimum diet diversity (foods from at least 5 out of 8 food groups),Proportion,Number of non-breastfed children 6-23 months of age who received foods from ≥ 5 (out of 8) food groups during the previous day,Non-breastfed children aged 6-23 months,"The eight food groups are: (i) breastmilk; (ii) grains, roots and tubers; (iii) legumes and nuts; (iv) dairy products (infant formula, milk, yogurt, cheese); (v) flesh foods (meat, fish, poultry and liver/organ meats); (vi) eggs; (vii) vitamin-A rich fruits and vegetables; (viii) other fruits and vegetables.",Infant and Young Child Feeding,Complementary Feeding,CF_MDD_NOBF,NT_CF_MDD_NOBF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
138,Height-for-age <-2 SD (Stunting) Modeled Estimates,Children (<5 years) who are stunted,Percentage of under-fives falling below minus 2 standard deviations (moderate and severe) from the median height-for-age of the reference population,Proportion,Number of under-fives falling below minus 2 standard deviations (moderate and severe) from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,This indicator is generated from country-level modelled estimates,Anthropometry,Child Anthropometry,ANT_HAZ_NE2_MOD,NT_ANT_HAZ_NE2_MOD,False,False,True,2.2.1,True,,True,False,SDG Country Consultation,Other,0 to 59 months,Crude Country Weighted Aggregation,0 to 59 months,,Not Applicable,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
